IP,pitch,roll,Time
127.0.1.1,-7.379393582116075,2.841581102760153,11/12 00:06:59
127.0.1.1,-7.379393582116075,2.841581102760153,11/12 00:06:59
127.0.1.1,-7.379393582116075,2.841581102760153,11/12 00:07:00
127.0.1.1,-7.379393582116075,2.841581102760153,11/12 00:07:01
127.0.1.1,-7.379393582116075,2.841581102760153,11/12 00:07:02
127.0.1.1,-10.933430436539789,4.454032098336076,11/12 00:07:03
127.0.1.1,-14.591174322000038,5.663375574381602,11/12 00:07:04
127.0.1.1,-20.153007608425174,3.79274385506602,11/12 00:07:05
127.0.1.1,-22.858295274505487,0.7520000923587016,11/12 00:07:06
127.0.1.1,-23.186748826407644,10.872903007662428,11/12 00:07:07
127.0.1.1,-25.930456306569276,8.070433702523884,11/12 00:07:08
127.0.1.1,-26.168505474617145,8.935526679777482,11/12 00:07:09
127.0.1.1,-24.215607541843344,9.087413865219286,11/12 00:07:10
127.0.1.1,-20.59941511219887,9.398535812102537,11/12 00:07:11
127.0.1.1,-13.425608516552884,9.682214058900676,11/12 00:07:12
127.0.1.1,-7.372459232561219,9.604084378758547,11/12 00:07:13
127.0.1.1,-9.22638687048789,9.173604022355677,11/12 00:07:14
127.0.1.1,-10.919435378930432,9.107641470446278,11/12 00:07:15
127.0.1.1,-11.680695820421496,9.24487021615559,11/12 00:07:16
127.0.1.1,-11.836905661834273,9.445243206968023,11/12 00:07:17
127.0.1.1,-11.787180177129287,9.521124901099572,11/12 00:07:18
127.0.1.1,-11.609611480408235,9.659830675216899,11/12 00:07:19
127.0.1.1,-11.709353586631577,9.63662510751178,11/12 00:07:20
127.0.1.1,-11.750364603729272,9.507759074667502,11/12 00:07:21
127.0.1.1,-11.732829800582557,9.514111150595616,11/12 00:07:22
127.0.1.1,-11.662256017209755,9.592183627903445,11/12 00:07:23
127.0.1.1,-11.698222939605396,9.609153232896343,11/12 00:07:24
127.0.1.1,-11.714570143610175,9.557694587689467,11/12 00:07:25
127.0.1.1,-11.631456132921228,9.570758178250761,11/12 00:07:26
127.0.1.1,-11.637507680525859,9.549526535215778,11/12 00:07:27
127.0.1.1,-11.656254842250252,9.579505943030256,11/12 00:07:28
127.0.1.1,-11.676274980481205,9.615541167317597,11/12 00:07:29
127.0.1.1,-4.803745040916723,4.215804064709317,11/12 00:07:30
127.0.1.1,-3.6752603324735693,3.480934406954125,11/12 00:07:31
127.0.1.1,-4.189517227914877,3.781042887244142,11/12 00:07:32
127.0.1.1,-4.704177531404039,4.031086294361376,11/12 00:07:33
127.0.1.1,-5.002877925507975,4.300489872681013,11/12 00:07:34
127.0.1.1,0.34604921310159525,0.08790011233738079,11/12 00:07:35
127.0.1.1,1.238353744049803,-0.3473024994534397,11/12 00:07:36
127.0.1.1,0.7603879915463003,-0.13937186430374815,11/12 00:07:37
127.0.1.1,0.3787517052803668,0.12140912045706251,11/12 00:07:38
127.0.1.1,0.25267252301958737,0.24600060213924851,11/12 00:07:39
127.0.1.1,0.21991984495867217,0.26253801090415674,11/12 00:07:40
127.0.1.1,0.24966590576345948,0.2689188216515503,11/12 00:07:41
127.0.1.1,-0.48614730527297295,0.9535639906859495,11/12 00:07:42
127.0.1.1,-1.6664424670261104,1.8342694997217268,11/12 00:07:43
127.0.1.1,-1.6857339094499884,1.9406879024153452,11/12 00:07:44
127.0.1.1,-1.568709290192398,1.776148645309738,11/12 00:07:45
127.0.1.1,-1.5034077725286101,1.7181575644919793,11/12 00:07:46
127.0.1.1,-1.4159103812181024,1.5969694113267374,11/12 00:07:47
127.0.1.1,-6.594287242685204,5.729434175826204,11/12 00:07:48
127.0.1.1,-8.098226596030312,7.519542233695566,11/12 00:07:49
127.0.1.1,-14.090727215286849,-7.682675325605797,11/12 00:07:50
127.0.1.1,-17.45177536716456,3.774518349039487,11/12 00:07:51
127.0.1.1,-16.056811682027007,-1.1655663390556812,11/12 00:07:52
127.0.1.1,-12.584118111749913,0.9188608667301725,11/12 00:07:53
127.0.1.1,-5.186317169820653,0.7058821748350994,11/12 00:07:54
127.0.1.1,2.1338057382253437,0.583605780436004,11/12 00:07:55
127.0.1.1,0.958936681520105,0.0926083004704881,11/12 00:07:56
127.0.1.1,-0.830169419614529,-0.26052190447981294,11/12 00:07:57
127.0.1.1,-1.739989837287102,-0.15143999481415407,11/12 00:07:58
127.0.1.1,-2.042526022940235,-0.027160148850483186,11/12 00:07:59
127.0.1.1,-1.9460899417185906,0.07932779804219166,11/12 00:08:00
127.0.1.1,-1.866910333434983,0.11295206560411734,11/12 00:08:01
127.0.1.1,-1.8850186590285678,0.1297426849562053,11/12 00:08:02
127.0.1.1,-1.7784311024312858,0.14393948661012804,11/12 00:08:03
127.0.1.1,-1.810667140714513,0.07697689895670484,11/12 00:08:04
127.0.1.1,-1.786885702684998,0.04652710855388802,11/12 00:08:05
127.0.1.1,-1.8593094001058166,0.08657406179251323,11/12 00:08:06
127.0.1.1,-1.8942921349307411,0.09082609467468417,11/12 00:08:07
127.0.1.1,-1.8133753107204231,0.051205728104387255,11/12 00:08:08
127.0.1.1,-1.7889253679258932,-0.0074126870790911445,11/12 00:08:09
127.0.1.1,-1.806906694689598,0.09937927243400536,11/12 00:08:10
127.0.1.1,-1.7955673000069075,0.05853033225685901,11/12 00:08:11
127.0.1.1,-1.926158169060024,0.052144638991426,11/12 00:08:12
127.0.1.1,-1.8230944564659397,0.13960618514900452,11/12 00:08:13
127.0.1.1,-1.7671160402975135,0.09950597110908778,11/12 00:08:14
127.0.1.1,-1.7980801692912374,0.040839538661877665,11/12 00:08:15
127.0.1.1,-1.4015923837270516,0.11879958798772096,11/12 00:08:16
127.0.1.1,0.6260536985803407,0.46188599309341166,11/12 00:08:17
127.0.1.1,0.6794493961080029,0.38387746876777046,11/12 00:08:18
127.0.1.1,0.5937821219690883,0.4382697335840199,11/12 00:08:19
127.0.1.1,0.4484917253267522,0.30193451535636384,11/12 00:08:20
127.0.1.1,0.36816728662480064,0.33219572183495827,11/12 00:08:21
127.0.1.1,0.4741622442703046,0.36838438525478656,11/12 00:08:22
127.0.1.1,-0.5040453891061683,0.20102139187612122,11/12 00:08:23
127.0.1.1,-2.2260694276377566,0.058341714982103526,11/12 00:08:24
127.0.1.1,-2.0309785209312707,0.16894379530533982,11/12 00:08:25
127.0.1.1,-1.9185728170999017,0.1848631920122809,11/12 00:08:26
